Freq,Range,Doppler,Polarize,Ampltude,Ampltude_before_proc,Antena_channel,Noise
1.000,60,2.344,90,78,11,3,77.062
1.000,65,2.344,90,78,11,3,77.062
1.000,70,2.344,90,78,11,3,77.062
1.000,75,2.344,90,78,11,3,77.062
1.000,80,2.344,90,78,11,3,77.062
1.000,85,2.344,90,78,11,3,77.062
1.000,90,2.344,90,78,11,3,77.062
1.000,95,2.344,90,78,11,3,77.062
1.000,100,2.344,90,78,11,3,77.062
1.000,105,2.344,90,78,11,3,77.062
1.000,110,2.344,90,78,11,3,77.062
1.000,115,2.344,90,78,11,3,77.062
1.000,120,2.344,90,78,11,3,77.062
1.000,125,2.344,90,78,11,3,77.062
1.000,215,-3.906,90,78,11,13,77.062
1.000,225,5.469,90,78,11,7,77.062
1.000,230,5.469,90,78,11,7,77.062
1.000,235,5.469,90,78,11,7,77.062
1.000,240,5.469,90,78,11,7,77.062
1.000,245,5.469,90,78,11,7,77.062
1.000,250,-3.906,90,78,11,13,77.062
1.000,255,5.469,90,78,11,7,77.062
1.000,260,5.469,90,78,11,7,77.062
1.000,265,5.469,90,78,11,7,77.062
1.000,270,5.469,90,78,11,7,77.062
1.000,275,5.469,90,78,11,7,77.062
1.000,280,5.469,90,78,11,7,77.062
1.000,285,5.469,90,78,11,7,77.062
1.000,290,5.469,90,78,11,7,77.062
1.000,295,5.469,90,78,11,7,77.062
1.000,300,5.469,90,78,11,7,77.062
1.000,305,5.469,90,78,11,7,77.062
1.000,310,5.469,90,78,11,7,77.062
1.000,315,5.469,90,78,11,7,77.062
1.000,320,5.469,90,78,11,7,77.062
1.000,325,5.469,90,78,11,7,77.062
1.000,330,5.469,90,78,11,7,77.062
1.000,335,5.469,90,78,11,7,77.062
1.000,340,5.469,90,78,11,7,77.062
1.000,345,5.469,90,78,11,7,77.062
1.000,350,5.469,90,78,11,7,77.062
1.000,355,5.469,90,78,11,7,77.062
1.000,360,5.469,90,78,11,7,77.062
1.000,365,5.469,90,78,11,7,77.062
1.000,370,5.469,90,78,11,7,77.062
1.000,375,5.469,90,78,11,7,77.062
1.000,380,5.469,90,78,11,7,77.062
1.000,385,5.469,90,78,11,7,77.062
1.000,390,5.469,90,78,11,7,77.062
1.000,395,-3.906,90,78,11,13,77.062
1.000,405,-3.906,90,78,11,13,77.062
1.000,410,-3.906,90,78,11,13,77.062
1.000,420,-3.906,90,78,11,13,77.062
1.000,425,-3.906,90,78,11,13,77.062
1.000,430,-3.906,90,78,11,13,77.062
1.000,435,-3.906,90,78,11,13,77.062
1.000,440,-3.906,90,78,11,13,77.062
1.000,445,-3.906,90,78,11,13,77.062
1.000,450,-3.906,90,78,11,13,77.062
1.000,455,-3.906,90,78,11,13,77.062
1.000,460,-3.906,90,78,11,13,77.062
1.000,465,-3.906,90,78,11,13,77.062
1.000,470,-3.906,90,78,11,13,77.062
1.000,475,-3.906,90,78,11,13,77.062
1.000,480,-3.906,90,78,11,13,77.062
1.000,485,-3.906,90,78,11,13,77.062
1.000,490,-3.906,90,78,11,13,77.062
1.000,495,-3.906,90,78,11,13,77.062
1.000,500,-3.906,90,78,11,13,77.062
1.000,505,-3.906,90,78,11,13,77.062
1.000,510,-3.906,90,78,11,13,77.062
1.000,515,-3.906,90,78,11,13,77.062
1.000,520,-3.906,90,78,11,13,77.062
1.000,525,-3.906,90,78,11,13,77.062
1.000,530,-3.906,90,78,11,13,77.062
1.000,535,-3.906,90,78,11,13,77.062
1.000,540,-3.906,90,78,11,13,77.062
1.000,545,-3.906,90,78,11,13,77.062
1.000,550,-3.906,90,78,11,13,77.062
1.000,555,-3.906,90,78,11,13,77.062
1.000,560,-3.906,90,78,11,13,77.062
1.000,565,-3.906,90,78,11,13,77.062
1.000,570,-3.906,90,78,11,13,77.062
1.000,575,-3.906,90,78,11,13,77.062
1.000,580,-3.906,90,78,11,13,77.062
1.000,585,-3.906,90,78,11,13,77.062
1.000,590,-3.906,90,78,11,13,77.062
1.000,595,-3.906,90,78,11,13,77.062
1.000,600,-3.906,90,78,11,13,77.062
1.000,605,-3.906,90,78,11,13,77.062
1.000,610,-3.906,90,78,11,13,77.062
1.000,615,-3.906,90,78,11,13,77.062
1.000,620,-3.906,90,78,11,13,77.062
1.000,625,-3.906,90,78,11,13,77.062
1.000,630,-3.906,90,78,11,13,77.062
1.000,635,-3.906,90,78,11,13,77.062
1.000,640,-3.906,90,78,11,13,77.062
1.000,645,-3.906,90,78,11,13,77.062
1.000,650,-3.906,90,78,11,13,77.062
1.000,655,-3.906,90,78,11,13,77.062
1.000,660,-3.906,90,78,11,13,77.062
1.000,665,-3.906,90,78,11,13,77.062
1.000,670,-3.906,90,78,11,13,77.062
1.000,675,-3.906,90,78,11,13,77.062
1.000,680,-3.906,90,78,11,13,77.062
1.000,685,-3.906,90,78,11,13,77.062
1.000,690,-3.906,90,78,11,13,77.062
1.000,695,-3.906,90,78,11,13,77.062
1.100,60,-5.469,90,78,11,15,74.156
1.100,75,-5.469,90,78,11,15,74.156
1.100,85,-2.344,90,78,11,11,74.156
1.100,90,-5.469,90,78,11,15,74.156
